external_id,channel,canonical_status,edge_case,http_status,fire_ms,error,ack_ms,e2e_ms,provider,is_fallback,prompt_tokens,completion_tokens,cost_usd,validator_passes,n_validator_failures,message_status,wa_simulated,db_persisted
3000000000000001,mercadolibre,paid,,200,256,,0,2504,openai,false,743,59,0.000147,1,0,sent,true,true
3000000000000002,woocommerce,paid,,200,64,,0,2125,openai,false,738,59,0.000146,1,0,sent,true,true
3000000000000003,mercadolibre,paid,,200,42,,0,1649,openai,false,742,58,0.000146,1,0,sent,true,true
3000000000000004,woocommerce,paid,,200,189,,0,1403,openai,false,736,47,0.000139,1,0,sent,true,true
3000000000000005,mercadolibre,paid,,200,47,,0,1304,openai,false,740,59,0.000146,1,0,sent,true,true
3000000000000006,woocommerce,paid,,200,68,,0,1022,openai,false,736,42,0.000136,1,0,sent,true,true
3000000000000007,mercadolibre,paid,no_resource,400,48,,,,,,,,,,,,,false
3000000000000008,woocommerce,paid,,200,39,,0,1094,openai,false,735,58,0.000145,1,0,sent,true,true
3000000000000009,mercadolibre,paid,,200,44,,0,1422,openai,false,743,65,0.000150,1,0,sent,true,true
3000000000000010,woocommerce,paid,,200,42,,0,1041,openai,false,738,59,0.000146,1,0,sent,true,true
3000000000000011,mercadolibre,paid,,200,40,,0,1053,openai,false,741,57,0.000145,1,0,sent,true,true
3000000000000012,woocommerce,paid,,200,41,,0,985,openai,false,736,42,0.000136,1,0,sent,true,true
3000000000000013,mercadolibre,paid,unsupported_topic,400,41,,,,,,,,,,,,,false
3000000000000014,woocommerce,paid,,200,76,,0,1072,openai,false,736,47,0.000139,1,0,sent,true,true
3000000000000015,mercadolibre,paid,,200,43,,0,1078,openai,false,741,57,0.000145,1,0,sent,true,true
3000000000000016,woocommerce,paid,,200,37,,0,1645,openai,false,736,42,0.000136,1,0,sent,true,true
3000000000000017,mercadolibre,paid,,200,36,,0,1029,openai,false,741,57,0.000145,1,0,sent,true,true
3000000000000018,woocommerce,paid,,200,36,,0,1035,openai,false,738,59,0.000146,1,0,sent,true,true
3000000000000019,mercadolibre,paid,,200,35,,0,1437,openai,false,743,59,0.000147,1,0,sent,true,true
3000000000000020,woocommerce,paid,null_buyer_id,200,40,,0,1233,openai,false,738,59,0.000146,1,0,sent,true,true
3000000000000021,mercadolibre,paid,,200,39,,0,1434,openai,false,745,66,0.000151,1,0,sent,true,true
3000000000000022,woocommerce,paid,,200,43,,0,993,openai,false,736,47,0.000139,1,0,sent,true,true
3000000000000023,mercadolibre,paid,,200,38,,0,1018,openai,false,745,61,0.000148,1,0,sent,true,true
3000000000000024,woocommerce,paid,,200,55,,0,1278,openai,false,735,57,0.000144,1,0,sent,true,true
3000000000000025,mercadolibre,paid,,200,37,,0,1346,openai,false,743,59,0.000147,1,0,sent,true,true
3000000000000026,woocommerce,paid,,200,39,,0,1193,openai,false,738,65,0.000150,1,0,sent,true,true
3000000000000027,mercadolibre,paid,high_value,200,39,,0,1030,openai,false,740,62,0.000148,1,0,sent,true,true
3000000000000028,woocommerce,paid,,200,46,,0,1083,openai,false,735,61,0.000147,1,0,sent,true,true
3000000000000029,mercadolibre,paid,,200,40,,0,1008,openai,false,741,57,0.000145,1,0,sent,true,true
